categorie,rang,favoris_par_jour,favoris,age_jours,prix,marque,etat,titre,url
Femmes › Sacs,2,413.5,215,0.52,28.0,Vintage Dressing,Neuf sans étiquette,borsa a spalla,https://www.vinted.fr/items/9709197825-borsa-a-spalla
Femmes › Sacs,3,336.0,168,0.29,3.0,Accessories,Très bon état,Petit sac,https://www.vinted.fr/items/9713340519-petit-sac
Femmes › Sacs,4,298.0,149,0.44,55.0,Longchamp,Très bon état,Longchamp Mini com Alça,https://www.vinted.fr/items/9710552507-longchamp-mini-com-alca
Femmes › Sacs,5,238.0,119,0.16,35.0,Accessories,Neuf sans étiquette,Sac noir vintage,https://www.vinted.fr/items/9714924021-sac-noir-vintage
Femmes › Sacs,6,228.4,169,0.74,50.0,GUESS,Neuf sans étiquette,Sac guess authentique,https://www.vinted.fr/items/9705846135-sac-guess-authentique
Femmes › Sacs,7,215.4,112,0.52,34.0,Sac à main marron,Très bon état,Sac à main marron,https://www.vinted.fr/items/9709213937-sac-a-main-marron
Femmes › Sacs,8,186.5,97,0.52,21.5,Handgemaakt,Neuf sans étiquette,Indiase blokprint shopper handgemaakt,https://www.vinted.fr/items/9690902279-indiase-blokprint-shopper-handgemaakt
Femmes › Sacs,9,186.0,93,0.49,15.0,H&M,Neuf avec étiquette,H&M Totebag van mesh lila,https://www.vinted.fr/items/9709753111-hm-totebag-van-mesh-lila
Femmes › Sacs,10,180.0,90,0.2,40.0,Vintage Dressing,Très bon état,Sac à main noir vintage style Y2K,https://www.vinted.fr/items/9714543162-sac-a-main-noir-vintage-style-y2k
Femmes › Sacs,11,176.0,88,0.3,25.0,,Neuf sans étiquette,Bolso Tote negro,https://www.vinted.fr/items/9713095819-bolso-tote-negro
Femmes › Sacs,12,174.0,87,0.16,68.0,Longchamp,Très bon état,Sac Longchamp le pliage L Noir original,https://www.vinted.fr/items/9714925174-sac-longchamp-le-pliage-l-noir-original
Femmes › Sacs,13,172.0,86,0.26,13.2,grayclosetstore,Très bon état,Portagioie in metallo con decorazioni,https://www.vinted.fr/items/9713739884-portagioie-in-metallo-con-decorazioni
Femmes › Sacs,14,170.0,85,0.34,50.0,Longchamp,Très bon état,Longchamp Le pliage mini Original mit Rechnung,https://www.vinted.fr/items/9712525017-longchamp-le-pliage-mini-original-mit-rechnung
Femmes › Sacs,15,169.0,98,0.58,7.0,Altra,Neuf sans étiquette,Borsa bordeaux,https://www.vinted.fr/items/9708132152-borsa-bordeaux
Sport › Sports d'hiver,1,478.0,239,0.31,8.5,Fashion,Très bon état,Ultra tendance une paire guêtres noir aesthetic détails métallique boutons,https://www.vinted.fr/items/9713102509-ultra-tendance-une-paire-guetres-noir-aesthetic-details-metallique-boutons
Sport › Sports d'hiver,2,220.0,110,0.43,8.5,Accessories,Très bon état,Guêtres Noir animal print ultra tendance leg warmer cosplay girl,https://www.vinted.fr/items/9710642013-guetres-noir-animal-print-ultra-tendance-leg-warmer-cosplay-girl
Sport › Sports d'hiver,3,198.0,99,0.41,25.0,Salomon,Neuf sans étiquette,Salomon Skibrille Neu!,https://www.vinted.fr/items/9711221892-salomon-skibrille-neu
Sport › Sports d'hiver,4,135.1,150,1.11,8.5,Accessories,Très bon état,Legs warmers tendance léopards paire guêtres gris / woman chic,https://www.vinted.fr/items/9704374480-legs-warmers-tendance-leopards-paire-guetres-gris-woman-chic
Sport › Sports d'hiver,5,76.0,38,0.21,8.0,Fashion,Très bon état,Jolies guêtres leg warmers jambières femme fashion 90s trendy aesthetic,https://www.vinted.fr/items/9714429463-jolies-guetres-leg-warmers-jambieres-femme-fashion-90s-trendy-aesthetic
Sport › Sports d'hiver,6,74.0,165,2.23,8.5,Alternative,Très bon état,très belle paires guêtres style léopards aesthetic /   Jambiers chauffants,https://www.vinted.fr/items/9693402937-tres-belle-paires-guetres-style-leopards-aesthetic-jambiers-chauffants
Sport › Sports d'hiver,7,49.6,63,1.27,7.0,Fashion,Très bon état,Jolie paire guêtres couleur kaki tendance hiver,https://www.vinted.fr/items/9702842137-jolie-paire-guetres-couleur-kaki-tendance-hiver
Sport › Sports d'hiver,8,48.0,24,0.42,5.0,Cébé,Très bon état,Masque de ski enfant/ado,https://www.vinted.fr/items/9711064842-masque-de-ski-enfantado
Sport › Sports d'hiver,9,39.1,27,0.69,20.0,100%,Très bon état,Lunette de moto 100%,https://www.vinted.fr/items/9706524681-lunette-de-moto-100
Sport › Sports d'hiver,10,37.0,51,1.38,10.0,EDEA,Très bon état,Spinner Edea per allenamento pattinaggio,https://www.vinted.fr/items/9700977113-spinner-edea-per-allenamento-pattinaggio
Sport › Sports d'hiver,11,36.0,18,0.43,180.0,nitro,Très bon état,Nitro mystique snowboard,https://www.vinted.fr/items/9068546030-nitro-mystique-snowboard
Sport › Sports d'hiver,12,34.0,17,0.35,5.0,Wed'ze,Très bon état,Jolie lunette de ski . Parfait état,https://www.vinted.fr/items/9712290776-jolie-lunette-de-ski-parfait-etat
Sport › Sports d'hiver,13,34.0,17,0.45,8.0,100%,Bon état,Masque enfant,https://www.vinted.fr/items/9710511578-masque-enfant
Sport › Sports d'hiver,14,32.4,167,5.16,31.0,Zara,Neuf avec étiquette,Gafas de esquí Zara Ski Collection rosa con funda,https://www.vinted.fr/items/9664095246-gafas-de-esqui-zara-ski-collection-rosa-con-funda
